      EF                  x                  y                  z                J0_x               J0_y               J0_z               J1_x               J1_y               J1_z               J2_x               J2_y               J2_z      
      12.000000        -159.517096         152.377414        2037.000247           0.042147          -0.042293          -1.813398           0.829012          -0.830248           7.210962        -160.388254         153.249956        2031.602683
      12.001000        -144.005668         136.793384        2053.106358           0.042224          -0.042371          -1.814985           0.814777          -0.816033           7.226742        -144.862670         137.651788        2047.694600
      12.002000        -127.933448         120.648969        2070.033967           0.042276          -0.042422          -1.816581           0.800477          -0.801752           7.242031        -128.776201         121.493143        2064.608518
      12.003000        -111.302388         103.946164        2087.776031           0.042323          -0.042469          -1.818202           0.786015          -0.787308           7.257123        -112.130726         104.775941        2082.337110
      12.004000         -94.138013          86.710487        2106.333967           0.042386          -0.042533          -1.819868           0.771261          -0.772573           7.272478         -94.951660          87.525592        2100.881357
      12.005000         -76.444752          68.946335        2125.715168           0.042447          -0.042594          -1.821565           0.756326          -0.757657           7.287754         -77.243526          69.746586        2120.248979
      12.006000         -58.228632          50.659626        2145.924435           0.042501          -0.042648          -1.823290           0.741252          -0.742601           7.302863         -59.012384          51.444874        2140.444863
      12.007000         -39.493769          31.854457        2166.963430           0.042548          -0.042694          -1.825045           0.726043          -0.727412           7.317800         -40.262360          32.624564        2161.470675
      12.008000         -20.360320          12.650878        2188.571344           0.042587          -0.042734          -1.826828           0.710762          -0.712149           7.332623         -21.113669          13.405761        2183.065549
      12.009000          -1.021903          -6.757368        2210.329330           0.042621          -0.042768          -1.828633           0.695478          -0.696884           7.347429          -1.760001          -6.017717        2204.810534
      12.010000          18.476378         -26.325034        2232.243815           0.042649          -0.042796          -1.830458           0.680193          -0.681618           7.362190          17.753536         -25.600620        2226.712083
      12.011000          38.091918         -46.009602        2254.338192           0.042672          -0.042818          -1.832305           0.664925          -0.666369           7.376871          37.384322         -45.300414        2248.793626
      12.012000          57.819697         -65.806047        2276.610074           0.042689          -0.042836          -1.834172           0.649675          -0.651138           7.391472          57.127333         -65.112072        2271.052774
      12.013000          77.655023         -85.709668        2299.056813           0.042702          -0.042849          -1.836059           0.634445          -0.635927           7.405993          76.977876         -85.030892        2293.486879
      12.014000          97.592575        -105.715132        2321.676786           0.042710          -0.042857          -1.837965           0.619238          -0.620738           7.420435          96.930627        -105.051536        2316.094316
      12.015000         117.627664        -125.817742        2344.467334           0.042713          -0.042860          -1.839890           0.604054          -0.605574           7.434799         116.980897        -125.169308        2338.872424
      12.016000         137.755745        -146.012942        2367.426699           0.042712          -0.042859          -1.841834           0.588896          -0.590435           7.449086         137.124137        -145.379648        2361.819447
      12.017000         157.960270        -166.284207        2390.526057           0.042705          -0.042853          -1.843799           0.573808          -0.575366           7.463406         157.343757        -165.665988        2384.906450
      12.018000         178.230891        -186.621104        2413.750764           0.042694          -0.042841          -1.845788           0.558812          -0.560389           7.477817         177.629385        -186.017874        2408.118735
      12.019000         198.580824        -207.036887        2437.142701           0.042678          -0.042825          -1.847793           0.543844          -0.545440           7.492147         197.994301        -206.448622        2431.498347
      12.020000         219.008180        -227.529656        2460.694238           0.042657          -0.042805          -1.849814           0.528906          -0.530520           7.506405         218.436617        -226.956331        2455.037647
      12.021000         239.555556        -248.142006        2484.388306           0.042635          -0.042782          -1.851849           0.513903          -0.515537           7.520753         238.999018        -247.583687        2478.719401
      12.022000         260.191684        -268.842644        2508.218022           0.042609          -0.042757          -1.853897           0.498890          -0.500542           7.535099         259.650185        -268.299345        2502.536821
      12.023000         280.887682        -289.602683        2532.185818           0.042580          -0.042728          -1.855960           0.483921          -0.485593           7.549353         280.361181        -289.074363        2526.492424
      12.024000         301.640341        -310.418905        2556.288439           0.042547          -0.042695          -1.858036           0.468997          -0.470687           7.563517         301.128797        -309.905523        2550.582958
      12.025000         322.446876        -331.288516        2580.524267           0.042510          -0.042658          -1.860125           0.454116          -0.455826           7.577584         321.950250        -330.790033        2574.806809
      12.026000         343.304616        -352.208837        2604.892053           0.042470          -0.042617          -1.862227           0.439278          -0.441006           7.591545         342.822869        -351.725213        2599.162735
      12.027000         364.210518        -373.176812        2629.388870           0.042425          -0.042573          -1.864340           0.424482          -0.426229           7.605399         363.743610        -372.708009        2623.647811
      12.028000         385.161585        -394.189438        2654.011825           0.042377          -0.042525          -1.866464           0.409729          -0.411495           7.619145         384.709478        -393.735418        2648.259143
      12.029000         406.154878        -415.243766        2678.758192           0.042325          -0.042473          -1.868599           0.395019          -0.396804           7.632783         405.717533        -414.804489        2672.994008
      12.030000         427.187507        -436.336898        2703.625324           0.042270          -0.042418          -1.870744           0.380353          -0.382156           7.646310         426.764885        -435.912324        2697.849757
      12.031000         448.256637        -457.465987        2728.610669           0.042210          -0.042358          -1.872899           0.365729          -0.367552           7.659728         447.848698        -457.056078        2722.823839
      12.032000         469.359491        -478.628249        2753.711811           0.042146          -0.042294          -1.875063           0.351150          -0.352991           7.673035         468.966195        -478.232964        2747.913839
      12.033000         490.493303        -499.820909        2778.926290           0.042078          -0.042226          -1.877235           0.336614          -0.338473           7.686230         490.114612        -499.440210        2773.117295
      12.034000         511.764336        -521.149227        2803.875287           0.042100          -0.042248          -1.879393           0.321724          -0.323601           7.699145         511.400513        -520.783378        2798.055536
      12.035000         533.220220        -542.661394        2827.139899           0.042130          -0.042278          -1.881785           0.306820          -0.308717           7.711829         532.871270        -542.310399        2821.309856
