 written on 21May2020 at 10:43:08
   0.0000000000000000       -3.6583406735083730        0.0000000000000000     
   3.1682159589561240        1.8291703367541870        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        4.7614159912165590     
           4
          27
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1

   -1   -1   -1
    1    1    0.00000000E+00  0.00000000E+00
    1    2    0.00000000E+00  0.00000000E+00
    1    3    0.00000000E+00  0.00000000E+00
    1    4    0.95893480E-01  0.00000000E+00
    2    1    0.00000000E+00  0.00000000E+00
    2    2    0.00000000E+00  0.00000000E+00
    2    3    0.00000000E+00  0.00000000E+00
    2    4   -0.55364127E-01  0.00000000E+00
    3    1    0.00000000E+00  0.00000000E+00
    3    2    0.00000000E+00  0.00000000E+00
    3    3    0.00000000E+00  0.00000000E+00
    3    4   -0.10047711E+00  0.00000000E+00
    4    1    0.00000000E+00  0.00000000E+00
    4    2    0.00000000E+00  0.00000000E+00
    4    3    0.00000000E+00  0.00000000E+00
    4    4    0.00000000E+00  0.00000000E+00

   -1   -1    0
    1    1    0.23197331E+00  0.00000000E+00
    1    2   -0.96558291E-01  0.00000000E+00
    1    3    0.00000000E+00  0.00000000E+00
    1    4    0.95893480E-01  0.00000000E+00
    2    1   -0.96558291E-01  0.00000000E+00
    2    2    0.12047740E+00  0.00000000E+00
    2    3    0.00000000E+00  0.00000000E+00
    2    4   -0.55364127E-01  0.00000000E+00
    3    1    0.00000000E+00  0.00000000E+00
    3    2    0.00000000E+00  0.00000000E+00
    3    3   -0.15492243E+00  0.00000000E+00
    3    4    0.10047711E+00  0.00000000E+00
    4    1   -0.95893480E-01  0.00000000E+00
    4    2    0.55364127E-01  0.00000000E+00
    4    3    0.10047711E+00  0.00000000E+00
    4    4   -0.34473665E+00  0.00000000E+00

   -1   -1    1
    1    1    0.00000000E+00  0.00000000E+00
    1    2    0.00000000E+00  0.00000000E+00
    1    3    0.00000000E+00  0.00000000E+00
    1    4    0.00000000E+00  0.00000000E+00
    2    1    0.00000000E+00  0.00000000E+00
    2    2    0.00000000E+00  0.00000000E+00
    2    3    0.00000000E+00  0.00000000E+00
    2    4    0.00000000E+00  0.00000000E+00
    3    1    0.00000000E+00  0.00000000E+00
    3    2    0.00000000E+00  0.00000000E+00
    3    3    0.00000000E+00  0.00000000E+00
    3    4    0.00000000E+00  0.00000000E+00
    4    1   -0.95893480E-01  0.00000000E+00
    4    2    0.55364127E-01  0.00000000E+00
    4    3   -0.10047711E+00  0.00000000E+00
    4    4    0.00000000E+00  0.00000000E+00

   -1    0   -1
    1    1    0.00000000E+00  0.00000000E+00
    1    2    0.00000000E+00  0.00000000E+00
    1    3    0.00000000E+00  0.00000000E+00
    1    4    0.00000000E+00  0.00000000E+00
    2    1    0.00000000E+00  0.00000000E+00
    2    2    0.00000000E+00  0.00000000E+00
    2    3    0.00000000E+00  0.00000000E+00
    2    4   -0.11072825E+00  0.00000000E+00
    3    1    0.00000000E+00  0.00000000E+00
    3    2    0.00000000E+00  0.00000000E+00
    3    3    0.00000000E+00  0.00000000E+00
    3    4   -0.10047711E+00  0.00000000E+00
    4    1    0.00000000E+00  0.00000000E+00
    4    2    0.00000000E+00  0.00000000E+00
    4    3    0.00000000E+00  0.00000000E+00
    4    4    0.00000000E+00  0.00000000E+00

   -1    0    0
    1    1    0.64729443E-01  0.00000000E+00
    1    2    0.00000000E+00  0.00000000E+00
    1    3    0.00000000E+00  0.00000000E+00
    1    4    0.00000000E+00  0.00000000E+00
    2    1    0.00000000E+00  0.00000000E+00
    2    2    0.28772126E+00  0.00000000E+00
    2    3    0.00000000E+00  0.00000000E+00
    2    4   -0.11072825E+00  0.00000000E+00
    3    1    0.00000000E+00  0.00000000E+00
    3    2    0.00000000E+00  0.00000000E+00
    3    3   -0.15492243E+00  0.00000000E+00
    3    4    0.10047711E+00  0.00000000E+00
    4    1    0.00000000E+00  0.00000000E+00
    4    2    0.11072825E+00  0.00000000E+00
    4    3    0.10047711E+00  0.00000000E+00
    4    4   -0.34473665E+00  0.00000000E+00

   -1    0    1
    1    1    0.00000000E+00  0.00000000E+00
    1    2    0.00000000E+00  0.00000000E+00
    1    3    0.00000000E+00  0.00000000E+00
    1    4    0.00000000E+00  0.00000000E+00
    2    1    0.00000000E+00  0.00000000E+00
    2    2    0.00000000E+00  0.00000000E+00
    2    3    0.00000000E+00  0.00000000E+00
    2    4    0.00000000E+00  0.00000000E+00
    3    1    0.00000000E+00  0.00000000E+00
    3    2    0.00000000E+00  0.00000000E+00
    3    3    0.00000000E+00  0.00000000E+00
    3    4    0.00000000E+00  0.00000000E+00
    4    1    0.00000000E+00  0.00000000E+00
    4    2    0.11072825E+00  0.00000000E+00
    4    3   -0.10047711E+00  0.00000000E+00
    4    4    0.00000000E+00  0.00000000E+00

   -1    1   -1
    1    1    0.00000000E+00  0.00000000E+00
    1    2    0.00000000E+00  0.00000000E+00
    1    3    0.00000000E+00  0.00000000E+00
    1    4    0.00000000E+00  0.00000000E+00
    2    1    0.00000000E+00  0.00000000E+00
    2    2    0.00000000E+00  0.00000000E+00
    2    3    0.00000000E+00  0.00000000E+00
    2    4    0.00000000E+00  0.00000000E+00
    3    1    0.00000000E+00  0.00000000E+00
    3    2    0.00000000E+00  0.00000000E+00
    3    3    0.00000000E+00  0.00000000E+00
